Calendar,Summary,Start_Date,Start_Time,End_Date,End_Time,UTC_Offset,Recurrence,Recurrence_Interval,Recurrence_Count,Location,Description,Image,Status,URL,Categories
Back Stage,"The Kids are OK, I think — They are Doing Solo Shows",2019-01-29,19:00:00,2019-01-29,21:00:00,,,,,,"The Kids are Ok, I Think - They are Doing Solo Shows
A night of new works

Featuring
Marissa Goldman: Gamer Girl
Fareeha Khan: 7th Grade Funny
Ian Lockwood: I Got To Be Me

Hosted by the Marvelous Ms. Meaghan Strickland

Suggested donation of $5-$10 at the door",https://thefootlightbar.github.io/static/images/2019-01.the-kids-are-all-right.jpg,CONFIRMED,https://www.facebook.com/events/242955669962323/,
Back Stage,Saga of the Shining Emblem,2019-01-29,21:00:00,2019-01-29,23:00:00,,,,,,"There is a legend around these parts. The legend foretells a great darkness sweeping over the land. A great, over-powering force that will decimate our land and leave naught but ash in its wake. The signs are clear. The darkness is coming and all are in danger.<br><br>The legend does not end there, however. The legend also speaks of a great hero. A powerful force for light, rising up to challenge the darkness. A chosen warrior of goodness bearing the true mark of courage, a Shining Emblem. It is said this hero will first appear in Ridgewood at the place where destiny and fate meet: The Footlight Bar.<br><br>One lucky audience member will be selected to quest for the Shining Emblem!&nbsp; They will brave the elements, face danger and become a legend! All set to a live score!<br><br>January 29th, 9pm. The legend continues. Will you be the hero of legend? Will you side with the darkness? Or will you forge a new path? The choice is yours! Come to the Footlight Bar in Ridgewood to find out if you have the makings of a hero! Tickets only 7$! <br><br>The Emblem is calling you. Are you ready to be the hero you were born to be?<br><br><br>",,CONFIRMED,http://shiningemblem.com/,
Back Stage,"Winter Ring Record release show w/ Living Room, Superblonde & Ishmael",2019-02-01,21:00:00,2019-02-02,1:00:00,,,,,,"<br><span>Winter Ring, Living Room, Superblonde, Ishmael</span><br><span>Doors at 9, $10</span><br><span><br></span><br><span>Winter Ring</span><br><a href=""https://thewinterring.bandcamp.com/?fbclid=IwAR2fY8Gy_vCb5kqczg-DEnf_0RMz63diePOgcjUwFVXnr_g6hfPFbw0ij6U"" rel=""nofollow noopener"" target=""_blank"">https://thewinterring.bandcamp.com/</a><br><span>Living Room</span><br><a href=""https://jetsam-flotsam.bandcamp.com/album/heavy-mind?fbclid=IwAR1xSkTyaZJfQo3FdZDA-bzca8ZDnEm74utXrxwrMYY7bIarS_La-uwHi44"" rel=""nofollow noopener"" target=""_blank"">https://jetsam-flotsam.bandcamp.com/album/heavy-mind</a><br><span>Superblonde</span><br><a href=""https://superblondeband.bandcamp.com/?fbclid=IwAR0TDc4hOzYuDuKuSOIuyIFinNq5Dapxm0CNXW5j6PdEcAskk9buSm9ub8o"" rel=""nofollow noopener"" target=""_blank"">https://superblondeband.bandcamp.com/</a><br><span>Ishmael</span><br><a href=""https://ishmaeltheband.bandcamp.com/?fbclid=IwAR3quwbR9PUu-zvE7WIXAAa1ATNp4ncSx9YM7nj8SWW7xej5GxGgm3IG8xk"" rel=""nofollow noopener"" target=""_blank"">https://ishmaeltheband.bandcamp.com/</a><br><br>",https://thefootlightbar.github.io/static/images/2019-02.winter-record-release-show.png,CONFIRMED,https://www.facebook.com/events/233085577610648/,
Back Stage,Who TF are You??????,2019-02-02,19:00:00,2019-02-02,21:00:00,,,,,,A Character Show &lt;3 by Delaney Sweet<br><br>With special guest host Lindsey Myers &lt;3<br><br>$10 at the door.<br><br>,https://thefootlightbar.github.io/static/images/2019-02.who-tf-are-you.jpg,CONFIRMED,,
Back Stage,"Donny Dinero, Nixon Mask, Darien Rectangle, New Rose",2019-02-02,21:00:00,2019-02-03,1:00:00,,,,,,"<span>Donny Dinero, Nixon Mask, Darien Rectangle, New Rose</span><span><br></span><br><span>Doors at 9. $10</span><br><span><br></span><br><br>",https://thefootlightbar.github.io/static/images/2019-02.donny-dinero-nixon-mask-darien-rectangle-new-rose.jpg,CONFIRMED,https://www.facebook.com/events/753703111664395/,
Back Stage,Super Bowl Party!,2019-02-03,17:00:00,2019-02-04,0:00:00,,,,,,Super Bowl Party!<br>Doors at 5. FREE<br><br><span>We will be showing the game on the big screen in the back! Ross will be serving a special Super Bowl sized menu &amp; the drinks will be flowing! </span><br><br>,https://thefootlightbar.github.io/static/images/2019-02.super-bowl-party.png,CONFIRMED,https://www.facebook.com/events/291601048218393/,
Back Stage,Whose Mike is it Anyway?,2019-02-04,20:30:00,2019-02-04,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-02-04,23:00:00,2019-02-05,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,Hail Mary: Our Queer Saints,2019-02-05,19:00:00,2019-02-05,21:00:00,,,,,,"Hail Mary: Our Queer Saints is The Kennedy Center Honors for divas and deviants. <br><br>7pm @ The Footlight $5<br><br>&nbsp;Hosted by Tim Kov and David Perez<br><br>Comedians, writers, and performers nominate their favorite queer icon for sainthood in order to build a new canon of glorified souls and perhaps transcend their earthly bodies! <br><br>Be there or go to hell! <br><br>Featuring: <br>Lucy Augustine<br>Justin Covington<br>Ryan Leach<br>Tessa Skara<br><br>",https://thefootlightbar.github.io/static/images/2019-02.hail-mary.jpg,CONFIRMED,https://www.facebook.com/events/628807424204900/,
Back Stage,For the Culture: Black Lingerie,2019-02-05,21:00:00,2019-02-05,23:00:00,,,,,,For The Culture is Black at it again with a brand new special: Black Lingerie<br>$8 Doors at 9PM <br><br>Join us for an evening that's guaran-GD-teed to be as provocative as it is hilarious<br><br>Comedy💖Burlesque💖Live Music💖Blackness🖤<br>For The Culture is bringing something for everybody:<br><br>In love? Show them how much you really want to spend less than $10* on them<br><br>Aint-Shit? Slide to a dimly lit venue that allows you to confidently show off your side piece<br><br>White? Let everyone know how much you love The Culture without saying A WORD!!<br><br>𝙋𝙐𝙇𝙇 𝙏𝙁 𝙐𝙋<br>and do it #ForTheCulture<br><br>*10% of all ticket sales will benefit The Innocence Project<br><br><br>,,CONFIRMED,https://www.facebook.com/events/1051228345061337/,
